編號,案類,發生日期,發生時段,發生地點
297,自行車竊盜,1041007,16~18,臺北市南港區舊莊里舊莊街1段1~30號
298,自行車竊盜,1041007,20~22,臺北市大同區玉泉里鄭州路121~150號
299,自行車竊盜,1041008,18~20,臺北市中正區頂東里羅斯福路3段91~120號
300,自行車竊盜,1041010,06~08,臺北市中正區富水里思源街1~30號
301,自行車竊盜,1041010,10~12,臺北市萬華區永福街31~60號
302,自行車竊盜,1041010,10~12,臺北市南港區中南里忠孝東路7段571~600號
303,自行車竊盜,1041010,20~22,臺北市信義區四育里虎林街46巷31~60號
304,自行車竊盜,1041011,04~06,臺北市大同區揚雅里昌吉街61巷35弄1~30號
305,自行車竊盜,1041011,04~06,臺北市大同區揚雅里昌吉街61巷35弄1~30號
306,自行車竊盜,1041011,06~08,臺北市大同區蓬萊里重慶北路3段31~60號
307,自行車竊盜,1041011,16~18,臺北市士林區葫東里延平北路5段211~240號
308,自行車竊盜,1041012,16~18,臺北市大安區敦安里仁愛路與安和路口
309,自行車竊盜,1041013,12~14,臺北市北投區一德里大度路3段296巷(關渡捷運站前自行車停放區)
310,自行車竊盜,1041014,12~14,臺北市內湖區安泰街53巷1~30號
311,自行車竊盜,1041015,08~10,臺北市中正區富水里思源街1~30號
312,自行車竊盜,1041016,14~16,臺北市中山區德惠街1~30號
313,自行車竊盜,1041019,06~08,臺北市中正區富水里思源街1~30號
314,自行車竊盜,1041019,14~16,臺北市中正區幸市里忠孝東路二段91~120號
315,自行車竊盜,1041021,18~20,臺北市大同區景星里伊寧街48巷1~30號
316,自行車竊盜,1041023,08~10,臺北市大安區華聲里忠孝東路4段301~330號
317,自行車竊盜,1041026,10~12,臺北市中正區板溪里和平西路1段31~60號
318,自行車竊盜,1041026,20~22,臺北市文山區景華里景華街22巷1~30號
319,自行車竊盜,1041027,06~08,臺北市文山區萬年里羅斯福路5段31~60號
320,自行車竊盜,1041027,12~14,臺北市士林區聖山里忠誠路1段171巷10弄1~30號
321,自行車竊盜,1041027,20~22,臺北市萬華區西昌街21巷1~30號
322,自行車竊盜,1041101,12~14,臺北市大同區保安里重慶北路3段295巷21弄1~30號
323,自行車竊盜,1041102,08~10,臺北市大同區永樂里民樂街31~60號
324,自行車竊盜,1041103,14~16,臺北市中正區愛國西路與重慶南路(小南門站2號
325,自行車竊盜,1041103,18~20,臺北市信義區松隆里福德街1~30號
326,自行車竊盜,1041103,20~22,臺北市大安區龍圖里信義路3段181~210號
327,自行車竊盜,1041104,04~06,臺北市大同區景星里迪化街2段61~90號
328,自行車竊盜,1041104,04~06,臺北市大同區蓬萊里大龍街31~60號
329,自行車竊盜,1041105,00~02,臺北市大同區建明里華陰街31~60號
330,自行車竊盜,1041105,20~22,臺北市內湖區內湖路1段661~690號
331,自行車竊盜,1041108,12~14,臺北市萬華區桂林路1~30號
332,自行車竊盜,1041109,04~06,臺北市大安區敦安里敦化南路1段295巷31~60號
333,自行車竊盜,1041110,18~20,臺北市信義區景新里莊敬路211~240號
334,自行車竊盜,1041111,10~12,臺北市內湖區文德路211~240號
335,自行車竊盜,1041111,22~24,臺北市信義區西村里基隆路1段331~360號
336,自行車竊盜,1041112,14~16,臺北市內湖區民權東路4段181~210號
337,自行車竊盜,1041112,20~22,臺北市中正區徐州路1~30號
338,自行車竊盜,1041115,10~12,臺北市北投區石牌里西安街1段121~150號
339,自行車竊盜,1041115,10~12,臺北市大安區龍生里和平東路2段151~180號
340,自行車竊盜,1041120,22~24,臺北市大安區仁慈里復興南路1段295巷13弄1~30號
341,自行車竊盜,1041121,02~04,臺北市中正區東門里徐州路1~30號
342,自行車竊盜,1041121,10~12,臺北市北投區福興里致遠一路2段31~60號
343,自行車竊盜,1041122,02~04,臺北市中山區錦州街421~450號
344,自行車竊盜,1041122,16~18,臺北市中正區南福里南昌路1段126巷1~30號
345,自行車竊盜,1041122,16~18,臺北市信義區興雅里松高路1~30號
346,自行車竊盜,1041123,08~10,臺北市北投區榮光里石牌路1段166巷121~150號
347,自行車竊盜,1041124,14~16,臺北市北投區中央里中央南路2段1~30號
348,自行車竊盜,1041126,14~16,臺北市信義區泰和里吳興街600巷100弄91~120號
349,自行車竊盜,1041127,16~18,臺北市南港區萬福里同德路61~90號
350,自行車竊盜,1041128,18~20,臺北市萬華區廣州街211~240號
